Risk_Decile,Avg_Predicted_Prob,Actual_Event_Rate,Avg_Forward_Drawdown,Count
1,0.0,0.10869565217391304,-0.027881097314007196,46
2,0.0,0.391304347826087,-0.058002191503425796,46
3,0.07148295596069491,0.32608695652173914,-0.035233515174578026,46
4,0.11181225563315461,0.5217391304347826,-0.0519826099786149,46
5,0.2889203614834103,0.4782608695652174,-0.0667876881265291,46
6,0.31505318492078177,0.1956521739130435,-0.02908375232685434,46
7,0.347811357370504,0.0,-0.02782337962540536,46
8,0.3569373241112809,0.1956521739130435,-0.039236719015091584,46
9,0.5750681683196354,0.06521739130434782,-0.03820010913046968,46
10,0.5750784123959971,0.8043478260869565,-0.0923069099986729,46
